city    5min  metar   diff  n5/nM
ATL     93.2   93.0   -0.2  59/1
AUS    105.8  102.9   -2.9  59/1
BOS     69.8   68.0   -1.8  58/2
CHI     82.4   81.0   -1.4  58/2
DAL    105.8  102.0   -3.8  59/1
DC      79.0   78.1   -0.9  58/2
DEN     89.1   91.9   +2.9  9/10
HOU    100.4  100.0   -0.4  59/1
LAS    109.4  107.1   -2.3  57/3
LAX     82.4   80.1   -2.3  59/1
MIA     93.9   91.9   -2.0  57/3
MSP     79.0   78.1   -0.9  59/1
MSY     96.8   93.9   -2.9  59/1
NYC     75.9   75.9   +0.0  10/8
OKC     98.6   96.1   -2.5  59/1
PHL     78.8   77.0   -1.8  59/1
PHX    114.8  111.0   -3.8  59/1
SAN     82.4   81.0   -1.4  59/1
SAT    102.9  102.0   -0.9  59/1
SEA     73.4   69.1   -4.3  59/1
SFO     69.8   66.9   -2.9  57/3

mean bias (METAR - 5min): -1.74 F across 21 stations
