regime-conditioned CLI-high cells for 2026-09-16 (seasonal window +/-21d, widened when thin)

city  regime          n    mean   p10   p50   p90   source
----------------------------------------------------------
ATL   NO_STRATUS    146    86.6    79    86    94   regime x +/-21d
ATL   EARLY_BURN     28    85.1    68    88    93   regime x +/-75d
ATL   LATE_BURN      37    84.4    76    85    91   regime x +/-35d
ATL   NO_BURN        35    79.4    72    78    89   regime x +/-35d

AUS   NO_STRATUS    136    95.7    90    95   102   regime x +/-21d
AUS   EARLY_BURN     26    97.4    90    98   104   regime x +/-35d
AUS   LATE_BURN      40    95.9    89    97   101   regime x +/-21d
AUS   NO_BURN        42    73.9    54    78    87   regime x +/-75d

BOS   NO_STRATUS    136    74.6    66    74    84   regime x +/-21d
BOS   EARLY_BURN     25    76.3    63    75    89   regime x +/-50d
BOS   LATE_BURN      28    74.2    62    73    86   regime x +/-50d
BOS   NO_BURN        34    68.1    60    68    74   regime x +/-21d

CHI   NO_STRATUS    156    80.7    69    82    91   regime x +/-21d
CHI   EARLY_BURN     25    75.2    57    79    88   regime x +/-75d
CHI   LATE_BURN      25    73.9    59    77    82   regime x +/-35d
CHI   NO_BURN        36    73.3    60    74    84   regime x +/-35d

DAL   NO_STRATUS    170    93.4    86    94   101   regime x +/-21d
DAL   EARLY_BURN     23    84.0    71    90    96   regime x +/-75d (STILL THIN -- widest window)
DAL   LATE_BURN      33    85.1    76    85    94   regime x +/-50d
DAL   NO_BURN        46    72.6    58    75    86   regime x +/-75d

DC    NO_STRATUS    128    83.3    75    83    92   regime x +/-21d
DC    EARLY_BURN     32    83.6    78    86    93   regime x +/-75d
DC    LATE_BURN      27    83.0    71    83    91   regime x +/-35d
DC    NO_BURN        34    73.4    64    72    82   regime x +/-21d

DEN   NO_STRATUS    174    84.4    75    85    93   regime x +/-21d
DEN   EARLY_BURN     26    71.0    36    78    89   regime x +/-75d
DEN   LATE_BURN      28    62.6    34    69    84   regime x +/-75d
DEN   NO_BURN        21    52.7    30    51    70   regime x +/-75d (STILL THIN -- widest window)

EWR   NO_STRATUS    137    80.6    73    81    88   regime x +/-21d
EWR   EARLY_BURN     25    83.1    71    84    92   regime x +/-50d
EWR   LATE_BURN      29    83.0    74    83    92   regime x +/-50d
EWR   NO_BURN        34    71.9    60    72    83   regime x +/-21d

HOU   NO_STRATUS    162    93.1    89    93    98   regime x +/-21d
HOU   EARLY_BURN     42    87.3    72    89    99   regime x +/-75d
HOU   LATE_BURN      32    91.6    87    91    96   regime x +/-50d
HOU   NO_BURN        41    77.6    64    81    87   regime x +/-75d

LAS   NO_STRATUS    193    95.9    86    96   106   regime x +/-21d
LAS   EARLY_BURN      2    72.0    68    68    76   regime x +/-75d (STILL THIN -- widest window)
LAS   LATE_BURN       1   102.0   102   102   102   regime x +/-75d (STILL THIN -- widest window)
LAS   NO_BURN         0   empty

LAX   NO_STRATUS     93    81.8    75    80    91   regime x +/-21d
LAX   EARLY_BURN     34    76.6    73    76    81   regime x +/-21d
LAX   LATE_BURN      43    74.9    71    75    78   regime x +/-21d
LAX   NO_BURN        39    71.3    67    71    75   regime x +/-35d

MIA   NO_STRATUS    146    91.2    88    91    94   regime x +/-21d
MIA   EARLY_BURN     36    87.3    81    88    93   regime x +/-75d
MIA   LATE_BURN      30    90.1    87    90    94   regime x +/-35d
MIA   NO_BURN        26    87.2    83    87    91   regime x +/-50d

MSP   NO_STRATUS    149    79.0    65    80    89   regime x +/-21d
MSP   EARLY_BURN     19    73.1    37    81    88   regime x +/-75d (STILL THIN -- widest window)
MSP   LATE_BURN      32    75.6    66    76    89   regime x +/-35d
MSP   NO_BURN        37    72.1    54    75    82   regime x +/-35d

MSY   NO_STRATUS    127    90.7    86    91    94   regime x +/-21d
MSY   EARLY_BURN     18    83.8    77    84    93   regime x +/-75d (STILL THIN -- widest window)
MSY   LATE_BURN      32    86.5    80    88    93   regime x +/-50d
MSY   NO_BURN        38    75.9    65    78    85   regime x +/-75d

NYC   NO_STRATUS    125    78.2    71    78    86   regime x +/-21d
NYC   EARLY_BURN     26    79.8    74    79    86   regime x +/-35d
NYC   LATE_BURN      26    75.4    67    77    83   regime x +/-35d
NYC   NO_BURN        33    69.8    60    69    80   regime x +/-21d

OKC   NO_STRATUS    171    89.9    82    90   100   regime x +/-21d
OKC   EARLY_BURN     14    78.8    46    86    92   regime x +/-75d (STILL THIN -- widest window)
OKC   LATE_BURN      29    77.7    56    81    88   regime x +/-75d
OKC   NO_BURN        38    74.0    64    73    87   regime x +/-50d

PHL   NO_STRATUS    132    81.9    74    82    90   regime x +/-21d
PHL   EARLY_BURN     37    84.4    70    86    94   regime x +/-75d
PHL   LATE_BURN      30    84.1    76    84    92   regime x +/-35d
PHL   NO_BURN        31    72.0    63    73    81   regime x +/-21d

PHX   NO_STRATUS    192   103.4    94   104   111   regime x +/-21d
PHX   EARLY_BURN      3    68.7    65    66    75   regime x +/-75d (STILL THIN -- widest window)
PHX   LATE_BURN       2    81.0    80    80    82   regime x +/-75d (STILL THIN -- widest window)
PHX   NO_BURN         1    66.0    66    66    66   regime x +/-75d (STILL THIN -- widest window)

SAN   NO_STRATUS     76    81.9    73    81    93   regime x +/-21d
SAN   EARLY_BURN     44    77.1    74    77    81   regime x +/-21d
SAN   LATE_BURN      36    75.7    73    75    79   regime x +/-21d
SAN   NO_BURN        37    73.9    71    73    78   regime x +/-21d

SAT   NO_STRATUS    102    94.2    88    94   101   regime x +/-21d
SAT   EARLY_BURN     31    96.7    93    97   101   regime x +/-21d
SAT   LATE_BURN      56    95.4    92    95    99   regime x +/-21d
SAT   NO_BURN        51    75.4    59    79    88   regime x +/-75d

SEA   NO_STRATUS    103    74.7    66    75    84   regime x +/-21d
SEA   EARLY_BURN     30    72.3    63    72    81   regime x +/-35d
SEA   LATE_BURN      42    70.3    64    70    77   regime x +/-21d
SEA   NO_BURN        34    67.1    61    67    73   regime x +/-21d

SFO   NO_STRATUS     98    78.7    71    76    92   regime x +/-21d
SFO   EARLY_BURN     33    72.1    67    72    76   regime x +/-21d
SFO   LATE_BURN      38    71.6    67    71    75   regime x +/-21d
SFO   NO_BURN        39    70.0    65    70    74   regime x +/-35d

TTN   NO_STRATUS    118    79.1    71    79    88   regime x +/-21d
TTN   EARLY_BURN     27    84.7    77    84    93   regime x +/-50d
TTN   LATE_BURN      25    79.2    68    80    86   regime x +/-35d
TTN   NO_BURN        45    72.7    60    74    83   regime x +/-21d

  A cell is a measurement, not a signal. See the module docstring.
