
DEN (KDEN) at 39.862,-104.673 -- 12 nearest IGRA sites, ACTIVE OR NOT

IGRA id      name                              km   elev  first  last
---------------------------------------------------------------------
USM00072469  DENVER/STAPLETON INT.; CO.        20   1611   1919  2022
USW00023012  DENVER (LOWRY FIELD)              25   1645   1940  1948
USM00074531  AIR FORCE ACADEMY                100   1999   1981  2000
USM00072468  FORT CARSON/BUTTS                129   1789   1971  1998
USXUAC03671  AKRON                            131   1399   1952  1952
USM00072564  CHEYENNE/WARREN AFB              144   1872   1926  1973
USM00072464  PUEBLO MEMORIAL(AW)              176   1439   1973  1975
USW00023068  PUEBLO                           181   1463   1939  1947
USM00072563  SYDNEY                           201   1341   1955  1957
USXUAC03522  LA JUNTA                         225   1278   1952  1952
USM00072566  SCOTTSBLUFF AAF                  241   1207   1953  1961
USM00072465  GOODLAND/RENNER FIE              261   1115   1944  1974
